CMDLINE python simulation.py
MEM 101.675781 1562420908.6602
MEM 101.675781 1562420908.7967
MEM 101.675781 1562420908.9352
MEM 101.675781 1562420909.0715
MEM 101.675781 1562420909.1860
MEM 101.675781 1562420909.3065
MEM 101.675781 1562420909.4393
MEM 101.675781 1562420909.5777
MEM 101.675781 1562420909.6986
MEM 101.675781 1562420909.8166
MEM 101.675781 1562420909.9490
MEM 101.675781 1562420910.0834
MEM 101.675781 1562420910.2200
MEM 101.675781 1562420910.3346
MEM 101.675781 1562420910.4667
MEM 101.675781 1562420910.6033
MEM 101.675781 1562420910.7405
MEM 101.675781 1562420910.8744
MEM 101.675781 1562420910.9962
MEM 101.675781 1562420911.1214
MEM 101.675781 1562420911.2504
MEM 101.675781 1562420911.3718
MEM 101.675781 1562420911.4935
MEM 101.675781 1562420911.6153
MEM 101.675781 1562420911.7392
MEM 101.675781 1562420911.8578
MEM 101.675781 1562420911.9842
MEM 101.675781 1562420912.1185
MEM 101.675781 1562420912.2473
MEM 101.675781 1562420912.3653
MEM 101.675781 1562420912.4841
MEM 101.675781 1562420912.6181
MEM 101.675781 1562420912.7536
MEM 101.675781 1562420912.8857
MEM 101.675781 1562420913.0002
MEM 101.675781 1562420913.1339
MEM 101.675781 1562420913.2683
MEM 101.675781 1562420913.4072
MEM 101.675781 1562420913.5360
MEM 101.675781 1562420913.6530
MEM 101.675781 1562420913.7896
MEM 101.675781 1562420913.9267
MEM 100.105469 1562420914.0410
MEM 101.648438 1562420914.1589
MEM 102.789062 1562420914.2762
MEM 105.308594 1562420914.3935
MEM 107.273438 1562420914.5109
MEM 108.507812 1562420914.6256
MEM 109.906250 1562420914.7393
MEM 100.074219 1562420914.8527
MEM 100.074219 1562420914.9663
MEM 100.074219 1562420915.0797
MEM 101.875000 1562420915.1932
MEM 101.875000 1562420915.3071
MEM 101.875000 1562420915.4206
MEM 101.875000 1562420915.5342
MEM 101.875000 1562420915.6476
MEM 101.875000 1562420915.7612
MEM 101.875000 1562420915.8746
MEM 101.875000 1562420915.9882
MEM 101.875000 1562420916.1017
MEM 101.875000 1562420916.2158
MEM 101.875000 1562420916.3294
MEM 101.875000 1562420916.4429
MEM 101.875000 1562420916.5563
MEM 101.875000 1562420916.6697
MEM 101.875000 1562420916.7831
MEM 102.402344 1562420916.8966
MEM 102.402344 1562420917.0102
MEM 148.265625 1562420917.1251
MEM 157.062500 1562420917.2395
MEM 158.605469 1562420917.3538
MEM 160.718750 1562420917.4693
MEM 154.632812 1562420917.6020
MEM 155.019531 1562420917.7241
